#,Position,City,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
99,Data Analytics Engineer,Roanoke,5/27/2026,,,,,
100,Senior Analytics Engineer,Boston,5/28/2026,,,,,
101,Data Analytics Engineer,Colorado Springs,5/28/2026,,,,,
102,Senior Analytics Engineer,New York,5/28/2026,,,,,
103,Data Analytics Engineer,Littleton,5/28/2026,,,,,
104,Data Analytics Engineer,St. Paris,5/28/2026,,,,,
105,Data Analytics Engineer,Orlando,5/28/2026,Y,5/28/2026,,,
106,Data Analytics Engineer,,5/28/2026,,,,,
107,Data Analytics Engineer,Decatur,5/28/2026,,,,,
108,Senior Analytics Engineer II,Austin,5/28/2026,,,,,
109,Data Analytics Engineer,Dallas,5/28/2026,,,,,
110,Data Analytics Engineer,Austin,5/28/2026,Y,5/28/2026,Yes,,
111,Senior Analytics Engineer,New York,5/28/2026,,,,,
112,Senior Analytics Engineer,New York,5/28/2026,,,,,
113,Data Analytics Engineer,Boston,5/28/2026,,,,,
114,Data Analytics Engineer,Richmond,5/28/2026,Y,5/29/2026,,,
115,Senior Analytics Engineer I,,5/28/2026,,,,,
116,Data Analytics Engineer,Rogersville,5/28/2026,,,,,
117,Data Analytics Engineer,New York,5/28/2026,,,,,
118,Data Analytics Engineer,Los Angeles,5/28/2026,,,,,
119,Senior Analytics Engineer,San Jose,5/28/2026,,,,,
120,Senior Analytics Engineer II,Denver,5/28/2026,,,,,
121,Senior Analytics Engineer,Boston,5/28/2026,,,,,
122,Senior Analytics Engineer,Miami,5/28/2026,,,,,
123,Data Analytics Engineer,Atlanta,5/28/2026,,,,,
124,Senior Analytics Engineer,New York,5/28/2026,,,,,
125,Data Analytics Engineer,Mason,,,,,,
126,Senior Analytics Engineer,Fairfield,5/28/2026,,,,,
127,Data Analytics Engineer,Los Angeles,,,,,,
128,Senior Analytics Engineer,New York,5/28/2026,Y,5/28/2026,Yes,Y,Y
129,Data & Analytics Engineer,New York,5/28/2026,,,,,
130,Data Analytics Engineer,Atlanta,5/28/2026,,,,,
131,Senior Analytics Engineer,,5/28/2026,,,,,
132,Data Analytics Engineer,De Pere,5/28/2026,Y,5/29/2026,,,
133,Data Analytics | Engineer,,5/28/2026,,,,,
134,Senior Data Analytics Engineer,Windsor,5/28/2026,,,,,
135,"Senior Analytics Engineer, Healthcare",Grand Rapids,5/28/2026,,,,,
136,Senior Analytics Engineer,Philadelphia,5/28/2026,Y,5/28/2026,Yes,Y,
137,Senior Analytics Engineer,Denver,5/28/2026,,,,,
138,Senior Analytics Engineer,Denver,5/29/2026,,,,,
139,Senior Analytics Engineer,Cambridge,5/29/2026,,,,,
140,Data Analytics Engineer,Buffalo,5/29/2026,,,,,
141,Data Analytics Engineer,,5/29/2026,,,,,
142,Data Analytics Engineer,Perrysburg,5/29/2026,,,,,
143,Data Analytics Engineer,Chicago,5/29/2026,,,,,
144,Data Analytics Engineer,Dartmouth,5/29/2026,,,,,
145,Senior Analytics Engineer,New York,5/29/2026,,,,,
146,Senior Analytics Engineer I,New York,5/29/2026,,,,,
147,Senior Data Analytics Engineer,,5/29/2026,,,,,
148,Data Analytics Engineer,Nashville,5/29/2026,,,,,
149,Data Analytics Engineer,Seattle,5/29/2026,,,,,
150,Senior Analytics Engineer,Boston,5/29/2026,,,,,
151,Data Analytics Engineer,New York,5/29/2026,,,,,
152,Senior Analytics Engineer,Austin,5/29/2026,,,,,
153,Data Analytics Engineer,New York,5/29/2026,,,,,
154,Data Analytics Engineer,Austin,5/29/2026,,,,,
155,Data & Analytics Engineer,Bristol Township,5/29/2026,,,,,
156,"Associate, Data & Analytics Engineer",New York,5/29/2026,,,,,
157,Data Analytics Engineer,Dallas,,,,,,
158,Data Analytics Engineer,Richardson,5/29/2026,Y,5/29/2026,,,
159,Data Analytics Engineer,San Jose,5/29/2026,,,,,
160,Data Analytics Engineer,Durham,5/29/2026,,,,,
161,Sr. Data Analytics Engineer,Austin,5/29/2026,,,,,
162,Senior Analytics Engineer,New York,5/29/2026,,,,,
163,Senior Analytics Engineer,Philadelphia,5/29/2026,,,,,
164,Senior Analytics Engineer,Starkville,5/29/2026,Y,5/29/2026,Yes,Y,Y
165,Data & Analytics Engineer,,5/29/2026,,,,,
