#,Position,Seniority Tier,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
155,Data Analytics Engineer,Entry/Junior,5/19/2026,Y,5/19/2026,,,
156,Analytics Engineer Intern,Entry/Junior,5/19/2026,Y,5/19/2026,Yes,Y,Y
157,Database Engineer,Entry/Junior,5/20/2026,,,,,
158,Lead Analytics Engineer,Entry/Junior,5/20/2026,,,,,
159,Database Engineer/Business Analyst,Entry/Junior,5/20/2026,,,,,
160,Senior Analytics Engineer,Entry/Junior,5/20/2026,Y,5/20/2026,,,
161,Senior Manufacturing Database and Data Analytics Engineer,Entry/Junior,5/20/2026,,,,,
162,Analytics Engineer,Analytics,5/20/2026,,,,,
163,Sr. AI and Analytics Engineer,Entry/Junior,5/20/2026,,,,,
164,Lead Analytics Engineer,Entry/Junior,5/20/2026,,,,,
165,Senior Database Engineer,Entry/Junior,5/20/2026,,,,,
166,Senior Analytics Engineer,Entry/Junior,5/20/2026,,,,,
167,Data platform engineer,Entry/Junior,5/20/2026,,,,,
168,"Senior Software Engineer/Architect, Programmer Consultant, and Data Engineer",Entry/Junior,5/20/2026,,,,,
169,Database Engineer II,Entry/Junior,5/20/2026,,,,,
170,Data Engineer,Entry/Junior,5/20/2026,,,,,
171,Database Engineer,Entry/Junior,5/20/2026,,,,,
172,Analytics Engineer EDGE,Entry/Junior,5/20/2026,Y,5/20/2026,Yes,Y,
173,Analytics Engineer / Data Engineer,Entry/Junior,5/20/2026,,,,,
174,Senior Software Engineer / Data Architect,Entry/Junior,5/20/2026,,,,,
175,Senior Analytics Engineer,Entry/Junior,5/20/2026,Y,5/26/2026,,,
176,Analytics Engineer,Analytics,,,,,,
177,Analytics Engineer,Analytics,5/20/2026,,,,,
178,CornerStone Information Systems: Senior Analytics Engineer- Data Extraction and Warehousing,Entry/Junior,5/20/2026,,,,,
179,Database Engineer,Entry/Junior,5/20/2026,,,,,
180,Analytics Engineer,Analytics,5/20/2026,,,,,
181,Data Engineer/ Software Engineer,Entry/Junior,,,,,,
182,Cloud database Engineer,Entry/Junior,5/20/2026,,,,,
183,"Data Scientist/Data Engineer/AI Engineer, Medical VR Simulation",Entry/Junior,5/20/2026,Y,5/20/2026,,,
184,Data Analytics Engineer,Entry/Junior,5/20/2026,,,,,
185,Sr. Analytics Engineer,Entry/Junior,5/20/2026,,,,,
186,Database Engineer,Entry/Junior,5/20/2026,,,,,
187,Senior Data Analytics Engineer,Entry/Junior,5/20/2026,Y,5/20/2026,,,
188,Staff Analytics Engineer,Entry/Junior,,,,,,
189,Data Architect/Engineer,Entry/Junior,5/20/2026,,,,,
190,Senior Technical Database Engineer,Entry/Junior,5/21/2026,,,,,
191,Data Analytics Engineer,Entry/Junior,5/21/2026,,,,,
192,Platform Analytics Engineer,Entry/Junior,5/21/2026,,,,,
193,Staff Analytics Engineer,Entry/Junior,5/21/2026,,,,,
194,Analytics Engineer,Analytics,5/21/2026,,,,,
195,DevOp Engineer  / Data Engineer,Entry/Junior,5/21/2026,,,,,
196,Associate Data Engineer,Entry/Junior,5/21/2026,Y,5/21/2026,Yes,Y,
197,Senior Data Engineer/Architect,Entry/Junior,5/21/2026,,,,,
198,Junior Data Engineer,Entry/Junior,5/21/2026,,,,,
199,Sr. Database Engineer,Entry/Junior,5/21/2026,,,,,
200,Sr. Data Platform Engineer,Entry/Junior,5/21/2026,,,,,
