#,Position,City,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
1,"Manager, Talent Acquisition (Technical)",Philadelphia,6/1/2026,,,,,
2,Global Senior Talent Acquisition Partner (EPD),Dallas,6/1/2026,,,,,
3,Senior Talent Acquisition Partner (Remote),City of Hudson,6/1/2026,,,,,
4,Senior Talent Acquisition Partner,,6/1/2026,,,,,
5,"Staff Recruiter, Tech",Las Vegas,6/1/2026,,,,,
6,Senior Technical Sourcer,,6/1/2026,,,,,
7,"Sr. Manager, Technical Talent Acquisition",San Francisco,6/1/2026,,,,,
8,"Manager, Talent Acquisition  - Engineering",,6/1/2026,,,,,
9,Talent Acquisition Manager,,6/1/2026,,,,,
10,"Sr Manager, Talent Acquisition (Tech)",,6/1/2026,Y,6/2/2026,,,
11,"Manager, Recruiting - Engineering",Warsaw,,,,,,
12,Senior Manager of Talent Acquisition - Technology,,6/1/2026,,,,,
13,"Sr. Manager, Recruiting",,6/1/2026,,,,,
14,"Senior Talent Acquisition Manager, Technology and Product",Amsterdam,6/1/2026,,,,,
15,"Talent Acquisition Lead, GTM",New York,6/1/2026,,,,,
16,Recruiting Specialist,San Francisco,6/1/2026,,,,,
17,Senior Talent Acquisition Sourcer,San Diego,,,,,,
18,Senior Talent Acquisition Partner,Peoria,6/1/2026,,,,,
19,Senior Talent Acquisition Partner,Nashville,6/1/2026,,,,,
20,"Senior Global Talent Acquisition Partner, GTM + G&A",Seattle,6/1/2026,,,,,
21,"Director, Recruiting",Denver,6/1/2026,Y,6/12,,,
22,"Head of Global Talent Acquisition, GTM + G&A",New York,6/1/2026,Y,6/1/2026,,,
23,Recruiting,Bellevue,6/1/2026,,,,,
24,"Manager, Recruiting",Chicago,6/1/2026,,,,,
25,Senior Recruiting Business Partner,Los Angeles,6/1/2026,,,,,
26,Senior Talent Acquisition Partner - GTM & Sales,Charlotte,6/1/2026,,,,,
27,"Talent Acquisition Partner, GTM",Chicago,6/1/2026,,,,,
28,Tech Talent Acquisition Sourcer,Sao Carlos,6/1/2026,,,,,
29,Talent Acquisition,,6/1/2026,,,,,
30,Senior Talent Acquisition Specialist-Executive search,Bellevue,6/1/2026,,,,,
31,"Manager, University Recruiting",San Jose,6/1/2026,,,,,
32,Senior Talent Acquisition Specialist,San Francisco,6/1/2026,,,,,
33,"Global Vice President, Recruitment",,6/1/2026,,,,,
34,"Sr. Manager, Talent Acquisition",Washington Court House,6/1/2026,Y,6/9,,,
35,Recruiter,Chicago,6/1/2026,,,,,
36,"Director, Executive Talent Acquisition GTM & G&A",San Rafael,6/1/2026,,,,,
37,Director of Recruiting,Richland,6/1/2026,,,,,
38,Recruiting,,6/1/2026,,,,,
39,Senior Executive Talent Acquisition,,6/1/2026,,,,,
40,Executive Talent / Talent Acquisition Manager,,6/1/2026,,,,,
41,"Sr. Manager, Talent Acquisition - GTM",New York,6/1/2026,,,,,
42,"Director, Talent Acquisition (Sourcing)",San Diego,6/1/2026,,,,,
43,"Director, Talent Acquisition",,6/2/2026,,,,,
44,"Senior Manager, Global HRSS & Recruiting Operations",San Diego,6/2/2026,,,,,
45,Talent Acquisition Manager,San Francisco,6/2/2026,,,,,
46,Project Manager - Talent Acquisition/Executive Recruiting Team,,6/2/2026,,,,,
47,"Lead Talent Acquisition, G&A",,6/2/2026,Y,6/5/2026,,,
48,"Program Manager, Recruiting Operations",Tracy,6/2/2026,,,,,
49,"Sr. Recruiting Business Partner, Industry and Enterprise Sales",New York,6/2/2026,,,,,
50,"Senior Director, Global Head of Executive Talent Acquisition",,6/2/2026,,,,,
51,Talent Acquisition Specialist,,6/2/2026,,,,,
52,Leading Global Go To Market Recruiting,Tampa,6/2/2026,,,,,
53,"Manager, Talent Acquisition (Sourcing)",San Jose,6/2/2026,Y,6/2/2026,,,
