#,Position,City,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
54,Vice President Global Talent Acquisition,,6/2/2026,,,,,
55,Talent Acquisition Specialist,,,,,,,
56,Executive Engineering Recruiting,,6/2/2026,,,,,
57,"Manager, Global Recruiting Operations",Burlingame,6/2/2026,,,,,
58,"Manager, Candidate Experiences & Recruiting Coordination",San Diego,6/2/2026,,,,,
59,"Leader, Talent Acquisition Recruiting (Emerging Sales)",,6/2/2026,,,,,
60,"Talent Acquisition, Field Engineering",San Francisco,6/2/2026,,,,,
61,"Director, Executive Recruiting",,6/2/2026,,,,,
62,"Manager, Recruiting Operations",Dallas,6/2/2026,,,,,
63,"Director, GTM Recruiting",Roswell,6/2/2026,,,,,
64,Talent Acquisition Specialist,,6/2/2026,,,,,
65,"Director, University Recruiting",San Francisco,6/2/2026,,,,,
66,"Talent Acquisition Partner, Early Careers",San Francisco,6/2/2026,,,,,
67,Head of GenAI Recruiting,,6/2/2026,,,,,
68,Senior Tech Sourcer II (Poland and Germany) - Sourcing lead,The Hague,6/2/2026,,,,,
69,"Manager, Recruiting & Special Projects",Denver,6/2/2026,,,,,
70,Recruiting Assistant,Las Vegas,6/2/2026,,,,,
71,Recruiting Program Manager,Denver,6/2/2026,,,,,
72,Recruiting Assistant,Las Vegas,6/2/2026,,,,,
73,"Staff Recruiting Lead, GTM",Los Angeles,6/2/2026,Y,6/3/2026,,,
74,"Director, Business Recruiting",,6/2/2026,,,,,
75,"Recruiting Manager, Early Talent",New York,6/2/2026,Y,6/2/2026,,,
76,Recruiting Supervisor,Shepherdsville,6/2/2026,,,,,
77,Senior Business Recruiter,New York,6/2/2026,,,,,
78,"Program Manager, Recruiting Operations",New York,6/2/2026,,,,,
79,Talent Acquisition,Austin,6/2/2026,,,,,
80,Director of Recruiting,Vancouver,6/2/2026,,,,,
81,Recruiting Assistant,Las Vegas,6/2/2026,,,,,
82,Director of Recruiting,,6/2/2026,,,,,
83,Recruiting Specialist,Denver,6/2/2026,,,,,
84,Sourcer,Boise,6/3/2026,,,,,
85,Director of Recruiting,Denver,6/3/2026,,,,,
86,"Senior Manager, Business Recruiting",Denver,6/3/2026,,,,,
87,Recruiting Leader,,6/3/2026,,,,,
88,Recruiting Coordination Lead,New York,6/3/2026,,,,,
89,Recruiting Manager,,6/3/2026,,,,,
90,Recruiting Program Specialist,,6/3/2026,,,,,
91,Recruiting Manager,,6/3/2026,,,,,
92,Recruiting Program Specialist,Denver,6/3/2026,,,,,
93,Head of Recruiting,Seattle,6/3/2026,Y,6/4/2026,,,
94,Senior Recruiter,Seattle,6/3/2026,,,,,
95,Talent Acquisition-Sr Recruiter,Phoenix,6/3/2026,Y,6/3/2026,,,
96,Recruiting Associate,,6/3/2026,,,,,
97,"Manager, Recruiting",Los Angeles,6/3/2026,,,,,
98,"Senior Manager, Talent Acquisition",Philadelphia,6/3/2026,,,,,
99,"Director, Early Career and M&A Recruiting",San Francisco,6/3/2026,,,,,
100,"Director, Talent Acquisition",Atlanta,6/3/2026,,,,,
101,Talent Acquisition,San Francisco,6/3/2026,,,,,
102,"Manager, Early Career Recruiting",San Francisco,6/3/2026,,,,,
103,Recruitment Specialist,Allentown,6/3/2026,,,,,
104,Recruitment Manager,Chicago,,,,,,
105,Talent Acquisition Field Recruiter,Fairfield,6/3/2026,,,,,
106,Talent Acquisition Field Recruiter,Kansas City,6/3/2026,,,,,
107,Technial Recruiting Lead,,6/3/2026,,,,,
108,Technical Recruiter,San Diego,6/3/2026,,,,,
109,"Manager, Recruiting",San Diego,6/3/2026,,,,,
110,Recruiting Manager,New York,6/3/2026,,,,,
111,"Manager, Business Recruiting (G&A + Business Sourcing)",Denver,6/3/2026,,,,,
112,Senior Talent Acquisition Partner,,6/3/2026,,,,,
113,Sales Recruiter,New York,6/3/2026,,,,,
114,Recruiting Associate,San Francisco,6/3/2026,,,,,
115,Analyst - Talent Acquisition,Seattle,6/3/2026,,,,,
116,Senior Recruiting Sourcer,New York,6/3/2026,,,,,
117,Head of Mid-Market Recruiting,,6/3/2026,,,,,
118,Recruiting Lead,Oakland,6/3/2026,,,,,
119,GTM Recruiting Manager,,6/3/2026,,,,,
120,Recruiting,New York,6/3/2026,,,,,
121,Recruiting Associate,,6/3/2026,,,,,
122,Head of Operations Recruiting,Los Angeles,6/3/2026,,,,,
123,Head of Leadership Recruiting + R4R,,6/3/2026,Y,6/3/2026,,,
124,"University Recruiting Manager, MBA Programs",,6/3/2026,,,,,
125,Director of Recruiting Operations,,6/4/2026,,,,,
126,Recruiting Manager,Belmont,6/4/2026,,,,,
127,"Recruiting Manager, Engineering",Vancouver,6/4/2026,,,,,
128,Tech Recruiting,Los Angeles,6/4/2026,,,,,
129,Technical Recruiting @ Whatnot,Torrance,6/4/2026,Y,6/5/2026,,,
130,Hardware Recruiting Manager,San Francisco,6/4/2026,,,,,
131,"Senior Manager, Recruiting Operations",New York,,,,,,
132,Recruiting Associate,,6/4/2026,,,,,
133,Director of Technical Recruiting,,6/4/2026,,,,,
134,Sr. Manager Technical Recruiting,Denver,6/4/2026,,,,,
135,"Manager, Tech Recruiting",New York,6/4/2026,,,,,
136,Technical University Recruiting Manager,San Francisco,6/4/2026,,,,,
137,"Senior Talent Acquisition Lead, Operations",Tallahassee,6/4/2026,Y,6/4/2026,,,
138,Technical Recruiting Manager,,6/4/2026,,,,,
139,"Sr. Recruiting Partner, Executive Recruiting",Ladera Ranch,6/4/2026,,,,,
140,Talent Operations and Recruiting Coordination Lead,San Diego,6/4/2026,,,,,
141,"Sr Manager, Recruiting & Operations",San Francisco,6/4/2026,,,,,
142,Head of Technical Recruiting,,6/4/2026,,,,,
143,Engineering Recruiting,,6/4/2026,,,,,
144,"Manager, Recruiting - Platform Engineering",Las Vegas,6/4/2026,,,,,
145,"Senior Manager, Recruiting Operations, Programs & Coordination",San Francisco,6/4/2026,,,,,
146,Business Recruiter,,6/4/2026,,,,,
147,Senior Technical Recruiter,Fremont,6/4/2026,,,,,
148,Corporate Recruiting Manager,Philadelphia,6/4/2026,,,,,
149,"Recruiting Manager, Product & Design",Austin,6/4/2026,,,,,
150,Recruiting Operations Analyst,,6/4/2026,,,,,
151,Head of Global Talent Acquisition,City of Rochester,6/4/2026,,,,,
152,"Vice President, Global Talent Acquisition",,6/4/2026,,,,,
153,Senior Talent Acquisition Partner,,6/4/2026,Y,6/4/2026,,,
154,Talent Acquisition Assistant,,6/4/2026,,,,,
155,Talent Acquisition Partner,Las Vegas,6/4/2026,,,,,
156,Senior Talent Acquisition Lead,Vienna,6/4/2026,Y,6/5/2026,,,
157,Talent Acquisition Specialist,Ciudad de la Costa,6/4/2026,,,,,
158,Senior Talent Acquisition Partner,Seville,6/4/2026,Y,6/5/2026,,,
159,Senior Recruitment-Berater,Munich,6/4/2026,,,,,
160,The driver of Talent Acquisition,Rae vald,6/4/2026,,,,,
161,Recruiting Coordinator,North Brunswick Township,6/4/2026,,,,,
162,Talent Acquisition Partner,Munich,6/4/2026,Y,6/5/2026,,,
163,Senior Manager Talent Acquisition,Zurich,6/4/2026,,,,,
164,Recruiting Coordinator,New York,6/4/2026,,,,,
165,Senior Talent Acquisition Specialist,Vienna,6/4/2026,Y,6/4/2026,,,
166,"Manager, GTM Recruiting",Northampton,6/4/2026,Y,6/4/2026,,,
167,Senior Recruiting Coordinator,Valley Springs,6/4/2026,Y,6/4/2026,,,
168,Head of Technical Recruiting,San Francisco,6/4/2026,,,,,
169,"Recruitment and Selection Specialist,  iGaming and Platforms",Mostar,,,,,,
170,Talent Acquisition Partner - Product & Engineering,Wrocław,6/4/2026,,,,,
171,Talent Acquisition Partner - Product & Engineering,Ljubljana,6/4/2026,,,,,
172,Head of Talent Acquisition,Vienna,6/4/2026,Y,6/5/2026,,,
173,Talent Acquisition Partner,Medellin,6/4/2026,,,,,
174,Talent Acquisition Partner,,6/4/2026,,,,,
175,Global Director of Talent Acquisition,London,6/4/2026,,,,,
176,Senior Talent Acquisition Partner,Tallinn,6/4/2026,,,,,
177,Talent Acquisition Partner,Medellin,6/4/2026,,,,,
178,Recruitment,London,6/4/2026,,,,,
179,Talent Acquisition Specialist,,6/4/2026,Y,6/12,,,
180,Talent Acquisition Partner,New York,6/4/2026,,,,,
181,Talent Acquisition Specialist,,6/4/2026,,,,,
182,Associate Talent Acquisition Partner,Capital City of Prague,6/4/2026,Y,6/8,,,
183,Director Of Recruiting,Athens,6/4/2026,,,,,
184,Talent Acquisition Manager,,6/4/2026,,,,,
185,Senior Talent Acquisition Partner,Medellin,6/4/2026,,,,,
186,Head Of Recruitment,London,6/4/2026,,,,,
187,Talent Acquisition Partner,London,6/4/2026,,,,,
188,Head of Talent Acquisition,London,6/4/2026,,,,,
189,Senior Talent Acquisition Partner,Vilnius,6/4/2026,Y,6/4/2026,,,
190,Talent Acquisition Manager,Chennai,6/4/2026,Y,6/8,,,
191,"Global Talent Acquisition Manager  Tech, Product & Commercial",Boston,6/4/2026,,,,,
192,Recruitment & Services Manager,,,,,,,
193,Recruitment & Services Specialist,,6/4/2026,,,,,
194,"Talent Acquisition Manager, Commercial & Corporate",New York,6/4/2026,,,,,
195,Senior Talent Acquisition Specialist,Chennai,6/4/2026,,,,,
196,Head Of Recruitment,London,6/4/2026,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
