#,Position,City,Connection Sent Date,Accepted?,Follow-up Sent Date,Response,Call Booked?,Call Completed?
178,"Co-Founder, CEO","New York, New York",6/14,,,,,
179,CTO & Co-Founder,"Springville, Iowa",6/14,,,,,
180,Co-Founder & CEO,"Boston, Massachusetts",6/14,,,,,
181,CEO & Co Founder,"San Francisco, California",6/14,,,,,
182,Co-Founder & CEO,"New York, New York",6/14,,,,,
183,CEO & Co-Founder,"Oakland, California",6/14,,,,,
184,Co-Founder & CEO,"Philadelphia, Pennsylvania",6/14,,,,,
185,CEO & Co-Founder,"City of Rochester, New York",6/14,,,,,
186,CEO & Co-Founder,"Chappaqua, New York",6/14,,,,,
187,Co-Founder,"Middlebury, Vermont",6/14,,,,,
188,Co-Founder,"Lake Zurich, Illinois",6/14,,,,,
189,CEO & Co-Founder,"New York, New York",,,,,,
190,Co-Founder & CEO,"Miami Beach, Florida",6/14,,,,,
191,Co-Founder & CTO,"New York, New York",6/14,,,,,
192,Co-founder & CEO,"New York, New York",6/14,,,,,
193,Co-Founder & CTO,"Littleton, Colorado",6/14,,,,,
194,"Co-Founder, CEO","New York, New York",6/14,,,,,
195,Co-Founder and CTO,"Portland, Oregon",6/14,,,,,
196,Co-Founder,"Irvine, California",6/14,,,,,
197,Co-Founder & CEO,"San Francisco, California",6/14,,,,,
198,Co-Founder & CEO,"Omaha, Nebraska",6/14,,,,,
199,CEO & Co-founder,"Knoxville, Tennessee",6/14,,,,,
200,Co-Founder,"Boston, Massachusetts",6/14,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
